epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,8203.17,0.54922,0.38033,1.01845,0.78886,0.69917,0.76568,0.47158,1.50738,1.1985,1.73047,0.002872,0.002872,0.002872
146,8259.69,0.54079,0.3758,1.01313,0.78442,0.70467,0.76492,0.47151,1.50334,1.2008,1.72613,0.0028225,0.0028225,0.0028225
147,8316.13,0.53555,0.37694,1.00998,0.77849,0.70356,0.76382,0.46943,1.50297,1.2026,1.72575,0.002773,0.002773,0.002773
148,8372.38,0.53863,0.37599,1.01093,0.77635,0.70356,0.76384,0.47033,1.50519,1.19797,1.72895,0.0027235,0.0027235,0.0027235
149,8428.92,0.53766,0.37794,1.01533,0.77569,0.70356,0.76516,0.47144,1.50651,1.19666,1.73063,0.002674,0.002674,0.002674
150,8485.37,0.52979,0.36773,1.0085,0.77565,0.7036,0.76474,0.47201,1.50605,1.19268,1.73117,0.0026245,0.0026245,0.0026245
151,8541.99,0.52886,0.36394,1.00766,0.77703,0.69742,0.76396,0.47371,1.50737,1.19398,1.73414,0.002575,0.002575,0.002575
152,8598.49,0.53479,0.36755,1.00922,0.82955,0.64941,0.75821,0.47256,1.50786,1.19766,1.73394,0.0025255,0.0025255,0.0025255
153,8655.04,0.52304,0.3644,1.00531,0.83198,0.64881,0.76102,0.47283,1.50946,1.20102,1.73665,0.002476,0.002476,0.002476
154,8711.67,0.52411,0.36268,1.00623,0.76855,0.6857,0.75848,0.47275,1.51096,1.1965,1.73804,0.0024265,0.0024265,0.0024265
155,8768.36,0.51336,0.35744,0.99968,0.77214,0.68514,0.76033,0.47302,1.51252,1.19645,1.7402,0.002377,0.002377,0.002377
156,8824.82,0.5183,0.35919,1.00164,0.77275,0.68555,0.76084,0.47249,1.51297,1.19166,1.7416,0.0023275,0.0023275,0.0023275
157,8881.31,0.51415,0.35701,0.99567,0.77549,0.68573,0.76153,0.47295,1.51281,1.18902,1.74258,0.002278,0.002278,0.002278
158,8937.68,0.50942,0.35463,0.99711,0.77464,0.68463,0.76313,0.47217,1.51308,1.19021,1.74407,0.0022285,0.0022285,0.0022285
159,8994.14,0.50403,0.35064,0.993,0.82793,0.65389,0.7636,0.47185,1.51469,1.19279,1.74587,0.002179,0.002179,0.002179
160,9050.42,0.50501,0.35244,0.99011,0.83097,0.6531,0.76284,0.47109,1.51511,1.19694,1.74708,0.0021295,0.0021295,0.0021295
161,9106.92,0.50133,0.34785,0.9902,0.78274,0.688,0.76265,0.46987,1.51562,1.19169,1.7478,0.00208,0.00208,0.00208
162,9163.38,0.49776,0.34508,0.99144,0.82153,0.65766,0.75957,0.46957,1.51589,1.19489,1.74798,0.0020305,0.0020305,0.0020305
163,9219.93,0.49752,0.34595,0.99032,0.82915,0.65422,0.75918,0.46841,1.51606,1.19941,1.74794,0.001981,0.001981,0.001981
164,9276.53,0.4944,0.34215,0.98896,0.82528,0.64866,0.75574,0.46983,1.51641,1.20002,1.7498,0.0019315,0.0019315,0.0019315
165,9332.91,0.4959,0.34638,0.99208,0.82592,0.64631,0.75492,0.4692,1.5154,1.19912,1.74882,0.001882,0.001882,0.001882
166,9389.58,0.48899,0.34062,0.98774,0.82573,0.64623,0.75362,0.47052,1.51509,1.19559,1.74946,0.0018325,0.0018325,0.0018325
167,9446.21,0.488,0.34001,0.98439,0.82534,0.64593,0.75281,0.46954,1.51542,1.19756,1.75075,0.001783,0.001783,0.001783
168,9502.81,0.48089,0.33211,0.98407,0.82508,0.64615,0.75215,0.46996,1.51547,1.20466,1.75147,0.0017335,0.0017335,0.0017335
169,9559.48,0.4749,0.33039,0.97934,0.82499,0.64611,0.75201,0.47049,1.51581,1.20448,1.75311,0.001684,0.001684,0.001684
170,9615.83,0.47277,0.33055,0.97801,0.82006,0.64804,0.75263,0.47024,1.51639,1.20938,1.75434,0.0016345,0.0016345,0.0016345
171,9672.4,0.47367,0.33075,0.97831,0.82124,0.6514,0.75305,0.47068,1.51567,1.20894,1.75358,0.001585,0.001585,0.001585
172,9728.83,0.47119,0.32817,0.97728,0.82055,0.65161,0.75317,0.46946,1.51735,1.21011,1.75618,0.0015355,0.0015355,0.0015355
